,song_name,artist_name,played_at,timestamp
0,Yours,ZHU,2022-10-22T15:56:28.176Z,2022-10-22
1,حبه جنة,Sherine,2022-10-22T15:50:45.056Z,2022-10-22
2,Fire for You - King Henry Remix,Cannons,2022-10-22T15:43:07.106Z,2022-10-22
3,Chun-Li,Nicki Minaj,2022-10-22T15:39:54.045Z,2022-10-22
4,Chun-Li,Nicki Minaj,2022-10-22T15:36:42.700Z,2022-10-22
5,Desert Night,RÜFÜS DU SOL,2022-10-21T23:55:55.221Z,2022-10-21
6,Treat You Better,RÜFÜS DU SOL,2022-10-21T23:54:40.096Z,2022-10-21
7,Tie Me Down (with Elley Duhé),Gryffin,2022-10-21T23:45:30.028Z,2022-10-21
8,Fire for You - King Henry Remix,Cannons,2022-10-21T23:40:13.733Z,2022-10-21
9,Simplicity Is Bliss,RÜFÜS DU SOL,2022-10-21T22:59:55.049Z,2022-10-21
10,Fire for You - King Henry Remix,Cannons,2022-10-21T22:46:49.997Z,2022-10-21
11,Fire for You - King Henry Remix,Cannons,2022-10-21T22:43:39.225Z,2022-10-21
